Station,Aadorf / Tänikon,Acquarossa / Comprovasco,Adelboden,Aigle,Altdorf,Altenrhein,Andeer,Andermatt,Arosa,Bad Ragaz,Bantiger,Basel / Binningen,Bergün / Latsch,Bern / Zollikofen,Beznau,Biasca,Binn,Bischofszell / Sitterdorf,Bivio,Bière,"Blatten, Lötschental",Boltigen,Bouveret,Brienz,Buchs / Aarau,Buffalora,Bullet / La Frétaz,Cevio,Cham,Chasseral,Chaumont,Chur,Château-d'Oex,Cimetta,Col des Mosses,Col du Grand St-Bernard,Courtelary,Crap Masegn,Cressier,Davos,Delémont,Disentis,Ebnat-Kappel,Eggishorn,Egolzwil,Einsiedeln,Elm,Engelberg,Evionnaz,Evolène / Villa,Fahy,"Flühli, LU",Fribourg / Grangeneuve,Frutigen,Genève / Cointrin,Gersau,Giswil,Glarus,Gornergrat,Grenchen,Grimsel Hospiz,Grono,Göschenen,Gösgen,"Gütsch, Andermatt",Güttingen,Hallau,Hörnli,Interlaken,Jungfraujoch,Koppigen,La Brévine,La Chaux-de-Fonds,La Dôle,Langnau i.E.,Le Moléson,Leibstadt,Les Attelas,Les Charbonnières,Les Diablerets,Les Marécottes,Locarno / Monti,Lugano,Luzern,Lägern,Magadino / Cadenazzo,Marsens,Mathod,Matro,Meiringen,"Montagnier, Bagnes",Montana,Monte Generoso,Mosen,Mottec,Möhlin,Mühleberg,Naluns / Schlivera,Napf,Neuchâtel,Nyon / Changins,Oberriet / Kriessern,Oberägeri,Oron,Passo del Bernina,Payerne,"Pfäffikon, ZH",Pilatus,Piotta,Piz Corvatsch,Piz Martegnas,Plaffeien,Poschiavo / Robbia,Pully,Quinten,Robièi,Rünenberg,S. Bernardino,Salen-Reutenen,Samedan,"Sattel, SZ",Schaffhausen,Schiers,Schmerikon,Schüpfheim,Scuol,Segl-Maria,Simplon-Dorf,Sion,St-Prex,St. Chrischona,St. Gallen,"Sta. Maria, Val Müstair",Stabio,Steckborn,Säntis,Thun,Titlis,Uetliberg,Ulrichen,Vaduz,Valbella,Vals,Vevey / Corseaux,Vicosoprano,Villars-Tiercelin,Visp,Weissfluhjoch,Wynau,Wädenswil,Würenlingen / PSI,Zermatt,Zürich / Affoltern
2024-06-29 18:20,6.1,5.0,5.4,3.2,26.6,34.9,6.8,23.0,17.3,16.2,23.0,2.2,12.2,7.9,1.4,8.3,6.1,1.8,14.8,9.7,6.5,2.5,9.4,28.4,2.9,9.4,10.1,4.7,25.2,18.4,6.8,12.2,9.4,25.9,5.4,14.4,14.4,38.2,4.0,16.6,7.9,8.3,3.6,20.2,16.2,11.2,20.2,11.9,33.8,13.3,5.4,27.0,5.0,4.7,6.1,10.1,9.0,20.9,54.7,15.1,14.4,3.2,11.2,3.2,19.8,6.1,10.8,27.0,34.6,53.6,3.2,17.6,16.6,32.8,7.6,34.2,3.2,43.9,9.7,57.2,7.6,2.9,4.3,23.8,41.8,2.9,14.4,3.2,34.2,37.4,4.0,25.6,24.1,15.1,5.0,15.1,5.0,18.7,24.1,15.5,8.3,25.9,18.4,25.6,34.9,16.2,11.2,64.8,3.2,33.8,40.0,17.3,23.0,9.7,5.0,16.6,22.7,3.6,11.2,13.0,13.0,4.3,3.6,5.0,11.2,5.8,8.6,6.1,32.4,1.8,41.8,24.1,4.7,4.0,6.1,28.1,14.8,23.8,69.1,6.1,32.8,19.4,14.4,13.3,2.5,13.7,43.9,31.0,4.3,30.2,2.5,12.2,6.5
2024-06-29 19:10,24.1,4.3,10.1,19.8,6.8,20.5,4.7,6.1,17.3,10.8,22.7,12.6,7.9,8.6,4.0,7.6,3.2,18.0,17.6,4.0,5.0,6.8,12.2,23.0,8.3,9.0,5.0,3.2,24.1,38.5,20.2,11.9,13.7,10.8,8.3,27.0,11.2,25.2,17.3,4.0,11.2,3.2,3.6,21.2,10.1,18.7,6.1,11.5,25.6,3.6,22.0,25.2,15.1,14.8,3.6,11.9,5.8,5.0,50.0,10.4,25.6,1.4,7.9,3.6,52.9,5.8,4.0,29.2,39.2,52.2,8.3,13.3,10.8,19.8,9.0,30.6,14.8,45.4,14.8,69.5,13.0,1.1,0.7,28.8,25.2,5.8,20.5,7.6,37.1,19.1,2.9,24.1,20.9,22.3,5.0,5.8,15.5,21.2,22.0,6.5,4.7,13.0,14.8,28.8,19.1,12.6,16.6,35.3,4.3,19.1,40.0,14.0,4.3,12.2,2.2,19.8,14.8,4.3,8.6,5.4,13.3,7.6,7.6,18.7,12.6,8.3,9.7,5.0,29.5,7.6,6.8,5.8,10.4,5.4,4.7,21.6,16.9,48.2,49.0,4.7,16.2,15.5,9.0,10.8,3.2,18.4,40.3,29.2,5.4,26.6,2.5,4.0,22.0
2024-06-29 20:20,11.9,3.2,10.4,21.6,13.3,11.5,3.6,12.2,10.4,10.8,31.7,5.4,5.8,12.6,4.3,4.3,7.6,7.2,19.8,8.3,14.0,3.2,37.1,21.2,8.3,5.0,8.3,5.4,5.8,54.0,25.2,5.0,12.6,19.8,18.7,24.8,13.3,38.2,14.4,13.0,12.2,5.8,7.2,19.8,5.8,3.2,6.1,9.7,24.5,11.9,9.0,13.0,12.2,9.0,2.2,7.2,8.3,5.0,29.2,9.7,24.8,4.3,9.4,5.4,78.5,14.8,12.2,20.5,7.2,62.6,4.0,18.0,21.2,19.4,5.4,33.8,11.5,55.1,11.5,72.4,9.4,4.7,3.2,16.6,30.6,2.9,7.2,8.3,46.1,28.8,3.6,15.8,30.2,21.6,5.0,6.1,12.6,10.4,29.5,18.4,5.4,14.0,14.0,4.7,23.4,11.2,9.4,25.9,2.5,18.7,43.2,38.2,4.3,15.1,3.2,4.7,21.6,2.2,19.4,3.2,7.9,21.6,7.9,2.9,3.6,4.3,9.4,3.6,36.4,14.8,27.7,11.5,12.6,3.6,28.8,23.4,22.3,52.6,11.2,2.5,11.2,7.6,14.8,13.7,2.5,12.2,29.5,31.3,7.2,6.5,11.5,6.8,6.1
2024-06-30 08:20,9.0,1.8,6.1,1.1,0.0,2.5,2.2,19.1,4.7,2.9,43.9,2.9,2.2,7.9,5.8,5.4,2.9,7.9,7.6,10.8,3.2,6.5,1.1,5.0,4.7,4.7,10.4,,2.5,52.2,12.2,3.2,1.4,6.5,8.6,24.5,25.2,18.7,14.4,15.1,9.7,2.2,1.8,11.9,2.2,1.8,4.0,1.8,4.0,4.0,12.2,5.0,27.4,4.3,17.3,3.2,1.1,0.7,12.6,10.8,20.9,4.0,2.5,9.7,26.3,9.4,2.9,25.9,2.2,22.7,10.4,18.0,24.5,44.3,2.5,27.0,1.4,25.9,17.3,27.0,1.4,2.5,0.0,2.2,23.0,1.8,10.8,11.9,29.9,2.2,2.5,0.7,9.0,5.8,7.2,1.1,4.0,31.0,29.5,13.7,11.2,2.2,4.3,26.6,18.4,12.2,5.0,18.0,3.2,33.5,34.9,25.6,0.0,11.9,2.9,,4.0,8.3,25.9,13.3,6.8,8.3,5.4,2.2,5.4,6.8,24.5,2.5,1.4,7.2,31.3,8.6,2.5,4.0,18.7,8.3,4.3,18.4,38.2,1.8,0.7,7.9,2.9,24.5,0.7,28.1,11.2,24.5,6.8,6.5,11.2,4.7,10.1
2024-06-30 09:10,7.6,,,,,5.8,5.4,,6.5,4.0,27.4,,,9.4,8.6,2.9,4.0,19.1,8.6,16.6,1.8,10.4,,,,4.3,15.1,,2.5,32.8,13.7,5.4,1.8,3.6,12.2,21.2,30.6,29.2,,,23.4,2.9,4.3,10.4,14.4,,5.4,9.0,5.4,1.8,19.4,7.2,28.1,1.8,23.8,,2.2,,,19.8,19.8,0.4,,11.2,,,7.9,23.4,,22.7,17.6,24.8,20.2,43.6,,36.0,2.9,23.8,22.0,,3.2,2.2,,5.8,16.9,1.1,20.9,22.3,23.8,7.2,,,5.4,4.3,3.2,6.1,7.2,,31.0,,14.0,2.2,,,22.7,16.9,,13.3,5.0,33.1,30.6,28.1,4.0,0.4,0.0,,3.6,2.9,,12.2,5.0,13.0,,5.0,10.4,1.8,,,3.2,,,5.4,3.6,,22.3,10.8,,,25.9,0.7,,,,20.9,,22.0,,19.1,,8.3,,,15.8
2024-06-30 10:20,5.8,1.8,10.4,9.4,7.6,5.4,2.2,10.4,11.2,4.3,50.0,12.6,3.2,20.2,9.4,5.4,6.8,16.2,11.9,14.8,4.0,17.3,3.6,6.8,10.8,6.8,16.6,,7.9,37.8,15.1,5.4,10.4,5.4,13.3,7.6,25.2,18.7,24.5,22.0,27.4,2.9,4.0,13.3,15.8,7.6,4.7,12.2,13.7,3.6,16.6,9.0,16.9,10.1,16.6,5.0,1.8,2.2,9.4,26.3,17.3,2.5,3.2,14.8,34.6,7.2,14.8,19.1,10.4,17.6,25.6,29.2,24.8,29.9,7.2,37.1,19.4,9.0,25.2,31.3,5.0,5.8,2.5,3.2,20.5,3.2,15.8,24.5,25.6,11.2,6.5,2.2,16.6,9.0,7.6,11.9,12.2,17.3,34.2,18.0,19.4,1.4,11.9,13.7,23.4,14.4,10.1,19.4,1.8,14.4,28.4,31.3,4.0,8.3,4.0,,4.0,5.0,12.6,20.5,6.5,22.7,16.6,2.5,16.6,3.6,19.4,1.8,2.5,22.3,27.7,5.0,5.0,0.4,11.2,15.1,4.7,16.2,28.1,2.5,4.7,8.3,4.3,24.1,2.9,24.1,14.0,12.6,14.4,2.9,17.3,0.7,16.9
2024-06-30 11:20,16.9,1.1,9.0,9.7,7.6,8.3,2.9,16.2,8.6,6.5,53.6,13.0,2.5,21.2,3.2,4.7,7.2,21.6,8.3,19.1,5.0,19.8,2.9,3.2,13.0,10.8,16.6,,6.5,31.3,12.2,12.6,14.0,2.5,14.4,4.0,22.3,11.5,20.5,17.6,20.9,2.2,7.2,15.5,17.3,12.2,1.4,13.0,12.2,5.4,17.3,6.8,23.8,10.8,17.3,5.0,0.0,18.7,11.5,24.8,15.5,1.8,4.7,19.8,31.7,12.2,16.2,23.4,7.9,9.4,24.1,21.2,19.1,29.2,12.2,33.5,18.0,9.0,22.0,29.2,5.4,5.0,1.1,9.4,21.6,6.8,18.0,22.0,24.1,5.0,10.1,5.4,16.2,5.4,5.0,12.2,6.8,17.3,35.3,19.8,20.5,5.0,7.9,23.8,24.5,22.0,5.8,19.8,4.3,3.6,23.4,35.6,1.8,8.6,1.4,,5.4,6.5,17.3,14.8,5.0,15.1,11.9,5.0,18.7,3.2,23.8,2.2,8.3,28.8,35.3,8.3,2.9,2.9,16.9,9.4,2.5,17.6,37.1,5.0,3.2,15.1,6.8,22.7,8.3,30.6,3.6,19.1,17.6,7.2,8.3,16.9,16.9
2024-06-30 12:20,11.9,7.6,12.6,9.7,12.6,15.8,11.9,10.1,11.2,16.9,63.0,17.6,5.0,20.5,5.8,4.7,6.8,16.6,7.2,19.1,1.8,27.0,5.8,5.4,16.9,10.4,12.6,,10.8,34.2,14.0,12.6,15.5,5.8,14.4,6.5,21.2,15.8,20.9,1.8,21.6,3.2,4.7,6.8,28.4,11.5,3.2,9.4,15.1,4.3,21.2,9.7,28.4,10.4,16.2,4.7,4.7,20.2,10.8,22.7,22.3,9.4,1.4,24.8,22.0,12.2,18.4,26.3,10.8,18.0,35.3,21.6,23.4,29.5,13.7,29.9,16.6,11.2,18.4,25.2,4.3,5.0,4.3,11.5,20.9,6.5,22.7,11.9,33.5,2.9,6.5,5.4,14.8,5.8,9.4,11.9,15.1,19.8,27.0,20.5,14.0,7.2,2.9,22.7,22.3,18.7,9.4,19.4,4.7,10.8,28.8,25.6,7.6,12.6,13.3,,4.3,2.9,28.4,27.0,2.9,19.1,18.4,7.6,20.2,3.2,18.0,2.2,6.1,27.0,36.4,14.4,11.5,2.5,22.7,13.3,2.5,20.9,43.9,5.4,5.0,6.8,18.0,20.2,4.0,28.8,6.8,23.4,14.4,6.8,15.8,18.7,13.3
2024-06-30 13:10,17.3,2.5,9.0,16.6,2.9,13.7,12.2,9.0,13.3,22.7,55.8,15.8,3.2,27.4,9.7,11.2,3.2,15.8,5.8,18.7,2.5,24.1,9.7,2.5,15.1,4.0,14.4,,7.6,37.8,13.0,16.6,9.4,2.9,7.6,5.8,28.8,22.7,20.9,13.0,21.2,2.5,2.9,8.3,34.9,9.0,9.7,9.7,14.0,4.0,22.0,9.0,24.1,8.6,19.8,3.2,3.2,27.4,7.2,33.1,22.7,8.6,14.4,24.1,17.3,16.6,21.6,28.8,5.4,13.3,26.6,22.7,19.8,33.8,16.2,31.0,22.7,14.4,22.0,25.9,1.8,6.1,1.8,6.1,22.0,10.1,17.3,17.6,30.2,1.8,8.6,7.6,16.9,18.4,5.0,20.5,18.7,14.4,35.3,8.6,9.7,6.1,9.7,19.4,28.1,13.0,16.2,17.6,1.1,5.4,37.8,23.8,6.5,12.2,9.0,,7.2,2.2,27.7,20.2,6.1,23.0,18.4,4.3,17.6,3.2,19.8,3.6,12.6,13.3,46.1,15.5,8.3,5.0,20.2,21.2,5.0,26.6,49.0,1.8,6.8,7.2,7.9,23.0,2.9,28.1,10.1,14.4,11.9,10.4,17.6,20.5,16.2
2024-06-30 14:30,18.0,1.4,5.0,20.5,5.0,7.6,12.2,14.0,10.1,12.2,35.6,16.2,4.3,25.2,11.2,8.6,4.0,18.0,9.0,19.4,7.9,21.2,9.7,1.4,10.8,7.6,9.7,,20.5,33.8,10.8,20.2,18.0,6.1,11.2,12.2,24.8,20.9,18.0,7.2,22.0,6.8,4.7,13.3,34.9,16.2,7.6,8.3,17.6,5.8,14.4,4.3,23.8,4.3,22.3,2.9,2.9,21.2,11.5,25.2,13.7,4.0,11.5,15.5,15.5,18.0,24.5,29.9,2.2,8.3,23.8,19.8,23.0,27.7,14.4,25.9,22.7,9.0,16.6,27.4,4.3,4.0,6.8,15.8,19.4,4.0,19.8,23.0,15.5,5.0,11.2,6.5,8.3,18.0,2.9,11.2,9.7,15.1,33.8,16.6,10.8,7.9,23.0,21.6,19.1,12.6,13.3,21.2,2.2,10.1,20.9,36.0,1.1,9.7,12.2,,11.9,4.0,34.9,19.1,14.4,26.6,12.2,8.3,18.4,1.1,17.6,7.6,3.6,18.7,33.1,11.9,5.0,7.2,41.0,14.4,6.1,26.3,46.1,3.2,4.7,8.6,16.2,19.1,4.3,21.2,9.4,14.4,14.0,19.4,24.8,20.9,15.8
